time,bid,ask,last,bidsize,asksize
2024-01-02T09:30:00,149.93180387221432,150.03180387221434,149.98180387221433,1377,677
2024-01-02T09:35:00,149.43754634176133,149.53754634176136,149.48754634176134,1432,924
2024-01-02T09:40:00,149.69598704178432,149.79598704178434,149.74598704178433,789,709
2024-01-02T09:45:00,149.78280632304507,149.8828063230451,149.83280632304508,1480,551
2024-01-02T09:50:00,149.78955992611628,149.8895599261163,149.8395599261163,1132,868
2024-01-02T09:55:00,149.8818975584023,149.98189755840232,149.9318975584023,569,1172
2024-01-02T10:00:00,150.3122560735535,150.41225607355352,150.3622560735535,1438,1263
2024-01-02T10:05:00,150.32273333713627,150.4227333371363,150.37273333713628,637,853
2024-01-02T10:10:00,150.43505471134793,150.53505471134795,150.48505471134794,1088,823
2024-01-02T10:15:00,150.71708323122334,150.81708323122336,150.76708323122335,1290,1287
2024-01-02T10:20:00,150.8016929989393,150.90169299893932,150.8516929989393,749,1181
2024-01-02T10:25:00,150.57381116416605,150.67381116416607,150.62381116416606,770,1332
2024-01-02T10:30:00,150.43814724025933,150.53814724025935,150.48814724025934,976,1406
2024-01-02T10:35:00,150.7302921346641,150.83029213466412,150.7802921346641,1384,1321
2024-01-02T10:40:00,150.25037579786957,150.3503757978696,150.30037579786958,723,1436
2024-01-02T10:45:00,150.34037031374453,150.44037031374455,150.39037031374454,1163,916
2024-01-02T10:50:00,150.22504660210762,150.32504660210765,150.27504660210764,952,894
2024-01-02T10:55:00,150.0124927618914,150.11249276189142,150.0624927618914,611,821
2024-01-02T11:00:00,150.11650349761192,150.21650349761194,150.16650349761193,1210,735
2024-01-02T11:05:00,149.1741992426759,149.27419924267593,149.22419924267592,1332,1248
2024-01-02T11:10:00,149.05575664891035,149.15575664891037,149.10575664891036,1075,1214
2024-01-02T11:15:00,148.78270452715293,148.88270452715295,148.83270452715294,676,1301
2024-01-02T11:20:00,148.48287169002478,148.5828716900248,148.5328716900248,655,667
2024-01-02T11:25:00,148.3353828920435,148.43538289204352,148.3853828920435,923,991
2024-01-02T11:30:00,148.49287833970345,148.59287833970347,148.54287833970346,1006,721
2024-01-02T11:35:00,148.88897735582472,148.98897735582474,148.93897735582473,1052,1393
2024-01-02T11:40:00,148.32876239440236,148.42876239440238,148.37876239440237,743,767
2024-01-02T11:45:00,148.28642585094647,148.3864258509465,148.33642585094648,1000,643
2024-01-02T11:50:00,148.72945173877764,148.82945173877766,148.77945173877765,795,1069
2024-01-02T11:55:00,148.31501982665483,148.41501982665486,148.36501982665484,1186,1379
2024-01-02T12:00:00,147.99286862628193,148.09286862628196,148.04286862628194,1296,1415
2024-01-02T12:05:00,148.1555229323074,148.25552293230743,148.20552293230742,1152,596
2024-01-02T12:10:00,147.90403207852827,148.0040320785283,147.9540320785283,501,825
2024-01-02T12:15:00,148.08139131514963,148.18139131514965,148.13139131514964,1492,653
2024-01-02T12:20:00,147.86078179248864,147.96078179248866,147.91078179248865,523,807
2024-01-02T12:25:00,147.79899645627165,147.89899645627168,147.84899645627166,1499,1033
2024-01-02T12:30:00,148.25909865402,148.35909865402002,148.30909865402,531,780
2024-01-02T12:35:00,148.5824722568667,148.68247225686673,148.63247225686672,1016,567
2024-01-02T12:40:00,148.93447478465825,149.03447478465827,148.98447478465826,605,1010
2024-01-02T12:45:00,148.7645718397155,148.86457183971552,148.8145718397155,595,552
2024-01-02T12:50:00,149.00506142972307,149.1050614297231,149.05506142972308,1183,726
2024-01-02T12:55:00,148.44331739788996,148.54331739788998,148.49331739788997,1227,500
2024-01-02T13:00:00,148.0760380820038,148.17603808200383,148.12603808200382,618,586
2024-01-02T13:05:00,148.3218445146717,148.42184451467173,148.37184451467172,1476,936
2024-01-02T13:10:00,148.25255455309815,148.35255455309817,148.30255455309816,820,1350
2024-01-02T13:15:00,148.75464015269807,148.8546401526981,148.80464015269808,818,1274
2024-01-02T13:20:00,148.57509215717766,148.6750921571777,148.62509215717768,796,598
2024-01-02T13:25:00,148.0046751240934,148.10467512409343,148.05467512409342,961,534
