time,bid,ask,last,bidsize,asksize
2024-01-02T09:30:00,164.9013522020821,165.00135220208213,164.95135220208212,1147,1174
2024-01-02T09:35:00,165.1121635150123,165.21216351501232,165.1621635150123,1490,1172
2024-01-02T09:40:00,164.83863910759942,164.93863910759944,164.88863910759943,1497,1042
2024-01-02T09:45:00,163.93404691426713,164.03404691426715,163.98404691426714,742,1269
2024-01-02T09:50:00,163.51569202411412,163.61569202411414,163.56569202411413,509,571
2024-01-02T09:55:00,163.36710193844172,163.46710193844174,163.41710193844173,774,1005
2024-01-02T10:00:00,163.41871383306778,163.5187138330678,163.4687138330678,1376,925
2024-01-02T10:05:00,162.65636583844451,162.75636583844454,162.70636583844453,1313,1412
2024-01-02T10:10:00,162.79979859450742,162.89979859450744,162.84979859450743,598,572
2024-01-02T10:15:00,163.26716592143907,163.3671659214391,163.31716592143908,660,1143
2024-01-02T10:20:00,164.01387396660084,164.11387396660086,164.06387396660085,1063,684
2024-01-02T10:25:00,164.18105765228032,164.28105765228034,164.23105765228033,1160,1383
2024-01-02T10:30:00,164.1916278807353,164.29162788073532,164.2416278807353,1482,1351
2024-01-02T10:35:00,164.77111955046468,164.8711195504647,164.8211195504647,1255,735
2024-01-02T10:40:00,164.76533547514143,164.86533547514145,164.81533547514144,711,1371
2024-01-02T10:45:00,165.12489860487347,165.2248986048735,165.17489860487348,537,996
2024-01-02T10:50:00,165.23514801633118,165.3351480163312,165.2851480163312,1133,1471
2024-01-02T10:55:00,164.75135650652498,164.851356506525,164.801356506525,1053,1229
2024-01-02T11:00:00,165.13022282932707,165.2302228293271,165.18022282932708,1421,534
2024-01-02T11:05:00,165.1335869210142,165.23358692101422,165.1835869210142,1075,702
2024-01-02T11:10:00,164.8169870172276,164.91698701722763,164.86698701722761,1001,903
2024-01-02T11:15:00,165.42572465996952,165.52572465996954,165.47572465996953,803,711
2024-01-02T11:20:00,165.97979083251346,166.07979083251348,166.02979083251347,586,632
2024-01-02T11:25:00,165.681505364282,165.78150536428203,165.73150536428201,1376,1478
2024-01-02T11:30:00,166.23919715579586,166.3391971557959,166.28919715579588,1326,1369
2024-01-02T11:35:00,166.59840289794738,166.6984028979474,166.6484028979474,662,934
2024-01-02T11:40:00,166.8500709797232,166.95007097972322,166.9000709797232,1203,715
2024-01-02T11:45:00,166.6355496715035,166.73554967150352,166.6855496715035,864,681
2024-01-02T11:50:00,166.7953144876462,166.89531448764623,166.84531448764622,937,1415
2024-01-02T11:55:00,166.51328022502958,166.6132802250296,166.5632802250296,1348,831
2024-01-02T12:00:00,166.24820192696677,166.3482019269668,166.29820192696678,1342,512
2024-01-02T12:05:00,166.50663143247533,166.60663143247535,166.55663143247534,690,897
2024-01-02T12:10:00,166.60933557789076,166.70933557789078,166.65933557789077,807,954
2024-01-02T12:15:00,166.6426397176206,166.74263971762062,166.6926397176206,1321,1123
2024-01-02T12:20:00,166.94641854692512,167.04641854692514,166.99641854692513,1416,838
2024-01-02T12:25:00,166.66491238929177,166.7649123892918,166.71491238929178,579,1423
2024-01-02T12:30:00,166.69632023868007,166.7963202386801,166.74632023868008,1333,1143
2024-01-02T12:35:00,166.7537676244962,166.85376762449621,166.8037676244962,989,1486
2024-01-02T12:40:00,167.23292887703246,167.3329288770325,167.28292887703248,1090,867
2024-01-02T12:45:00,167.52461692484144,167.62461692484146,167.57461692484145,575,1151
2024-01-02T12:50:00,167.24008376001134,167.34008376001137,167.29008376001136,1180,865
2024-01-02T12:55:00,167.7569042392978,167.85690423929782,167.8069042392978,1177,1199
2024-01-02T13:00:00,167.80344390202077,167.9034439020208,167.85344390202079,1162,1245
2024-01-02T13:05:00,168.355006748422,168.45500674842202,168.405006748422,1290,821
2024-01-02T13:10:00,168.57707593724055,168.67707593724057,168.62707593724056,1446,1437
2024-01-02T13:15:00,169.2087580580958,169.30875805809583,169.25875805809582,1349,1357
2024-01-02T13:20:00,169.4296344637863,169.52963446378632,169.4796344637863,1244,1394
2024-01-02T13:25:00,169.2346571859472,169.33465718594724,169.28465718594722,1481,717
